QB,RB,RB,WR,WR,WR,TE,FLEX,DST
9358787,9359235,9359384,9359993,9359005,9359688,9359251,9358612,9358762
9358787,9359235,9358968,9358814,9359127,9359122,9358612,9358910,9358762
9358787,9359235,9359150,9358773,9358910,9359688,9358612,9358576,9358762
9358787,9359235,9360142,9359127,9358773,9359545,9358612,9359331,9358762
9358787,9359235,9358631,9358936,9359127,9358874,9358612,9358773,9358762
9358787,9359235,9360065,9359572,9359514,9359331,9359249,9358612,9358762
9358787,9359235,9360065,9358814,9359003,9359310,9359249,9358612,9358762
9358787,9359235,9358968,9359005,9358914,9359310,9358612,9358576,9358762
9358787,9359235,9359150,9359993,9359127,9359514,9358900,9358612,9358762
9358787,9359235,9358631,9358696,9359310,9359545,9359249,9358612,9358762
